"Houston PD, TX"	"29.7604, -95.3698"	12	1746375	457	26.2	12	1779677	408	22.9	12	1739999	323	18.6	12	1725421	440	25.5	12	1713499	459	26.8	12	1630553	568	34.8	12	1665756	608	36.5	12	1695239	465	27.4	12	1724327	446	25.9	12	1758016	375	21.3	12	1734335	316	18.2	12	1772143	261	14.7	12	1801370	254	14.1	12	1797157	254	14.1	12	1812277	241	13.3	12	1953631	230	11.8	12	1997965	267	13.4	12	2040583	256	12.5	12	2041081	278	13.6	12	2043446	272	13.3	12	2045732	334	16.3	12	2073729	377	18.2	12	2169544	351	16.2	12	2238895	294	13.1	12	2273771	287	12.6	12	2099451	269	12.8	12	2143628	198	9.2	12	2177273	217	10	12	2180606	214	9.8	12	2219933	242	10.9	12	2275221	303	13.3
"San Antonio PD, TX"	"29.4241, -98.4936"	12	862878	180	20.9	12	879332	162	18.4	12	920215	174	18.9	12	935729	143	15.3	12	949691	168	17.7	12	935933	208	22.2	12	955905	208	21.8	12	972824	219	22.5	12	985456	220	22.3	12	999900	194	19.4	12	999900	142	14.2	12	1021477	117	11.5	12	1038086	95	9.2	12	1100791	89	8.1	12	1130173	96	8.5	12	1144646	85	7.4	12	1170622	100	8.5	12	1195592	100	8.4	12	1212789	85	7	12	1235128	94	7.6	12	1256584	86	6.8	12	1292116	119	9.2	12	1316882	122	9.3	12	1351244	116	8.6	12	1373936	99	7.2	12	1327407	79	6	12	1355339	89	6.6	12	1380123	89	6.4	12	1399725	72	5.1	12	1428465	103	7.2	12	1463586	94	6.4
"Tuscon PD, AZ"	"32.25346, -110.911789"	12	381473	32	8.4	12	397023	41	10.3	12	374546	23	6.1	12	383174	31	8.1	10	393319	40		12	405390	30	7.4	12	414766	24	5.8	12	423836	42	9.9	12	426344	44	10.3	12	441402	37	8.4	12	449981	65	14.4	12	472385	46	9.7	12	485933	50	10.3	12	467677	45	9.6	12	471286	36	7.6	12	486699	60	12.3	12	503461	42	8.3	12	517607	47	9.1	12	514618	47	9.1	12	522487	55	10.5	12	529447	55	10.4	12	535232	51	9.5	12	523299	49	9.4	12	528917	65	12.3	12	547981	35	6.4	12	520116	51	9.8	12	527479	51	9.7	12	531535	43	8.1	12	525486	47	8.9	12	527328	35	6.6	12	529675	31	5.5
"Fresno PD, CA"	"36.7468, -119.7726"	12	275125	46	16.7	12	281554	53	18.8	12	291855	33	11.3	12	294695	39	13.2	12	315218	42	13.3	12	354202	66	18.6	12	361580	52	14.4	12	367376	81	22	12	379977	87	22.9	12	382655	84	22	12	388495	71	18.3	12	392049	69	17.6	12	396843	60	15.1	12	404297	36	8.9	12	403966	26	6.4	12	427652	24	5.6	12	435600	40	9.2	12	443363	42	9.5	12	449898	37	8.2	12	456663	53	11.6	12	460758	49	10.6	12	465269	52	11.2	12	472170	52	11	12	475723	40	8.4	12	481370	42	8.7	12	494665	45	9.1	12	500480	35	7	12	506011	51	10.1	12	508876	40	7.9	12	513187	47	9.2	12	520837	39	7.5
"San Francisco PD, CA"	"37.7749, -122.4194"	12	733456	85	11.6	12	750544	114	15.2	12	767933	103	13.4	12	753927	92	12.2	12	750964	73	9.7	12	723959	101	14	12	739039	95	12.9	12	750885	117	15.6	12	736377	129	17.5	12	741568	91	12.3	12	738371	99	13.4	12	745127	82	11	12	754239	59	7.8	12	741362	58	7.8	12	756700	64	8.5	12	776733	59	7.6	9	791168	49		12	805269	68	8.4	12	772065	69	8.9	12	760353	88	11.6	12	749172	96	12.8	12	746085	86	11.5	12	733799	100	13.6	12	798144	98	12.3	12	809755	45	5.6	12	805235	48	6	12	814701	50	6.1	12	820363	69	8.4	12	833863	48	5.8	12	850294	45	5.3	12	863782	53	6.1
"Denver PD, CO"	"39.7392, -104.9903"	12	513048	72	14	12	518625	91	17.5	12	509529	79	15.5	12	500555	69	13.8	12	494589	55	11.1	12	467610	67	14.3	12	479468	88	18.4	12	492672	95	19.3	12	498402	74	14.8	12	511085	81	15.8	12	505843	81	16	12	516224	64	12.4	12	525793	69	13.1	12	509343	51	10	12	509624	63	12.4	12	554636	32	5.8	12	569653	45	7.9	12	581105	51	8.8	12	565905	63	11.1	12	563688	87	15.4	12	564552	59	10.5	12	568465	51	9	12	573387	47	8.2	12	592881	40	6.7	12	604680	35	5.8	12	600158	28	4.7	12	610612	34	5.6	12	628545	39	6.2	12	648981	41	6.3	12	665353	31	4.7	12	682418	53	7.8
"Washington Metropoliton PD, DC"	"38.9072, -77.0369"	12	626000	147	23.5	12	626000	194	31	12	622000	225	36.2	12	620000	369	59.5	12	604000	434	71.9	12	606900	472	77.8	12	598000	482	80.6	12	589000	443	75.2	12	578000	454	78.5	12	570000	399	70	12	554000	361	65.2	12	543000	397	73.1	12	529000	301	56.9	12	523000	260	49.7	12	519000	241	46.4	12	572059	239	41.8	12	571822	232	40.6	12	570898	262	45.9	12	563384	248	44	12	553523	198	35.8	12	550521	195	35.4	12	581530	169	29.1	12	588292	181	30.8	12	591833	186	31.4	12	599657	144	24	12	601723	132	21.9	12	617996	108	17.5	12	632323	88	13.9	12	646449	103	15.9	12	658893	105	15.9	12	672228	162	24.1
"Jacksonville PD, FL"	"30.3322, -81.6557"	12	601007	90	15	12	616668	119	19.3	12	629887	147	23.3					12	654737	165	25.2	12	636680	176	27.6	12	653515	119	18.2	12	663899	123	18.5	12	672310	125	18.6	12	685776	106	15.5	12	679148	86	12.7	12	690367	85	12.3	12	702545	75	10.7	12	703251	74	10.5	12	702462	83	11.8	12	735617	79	10.7	12	754679	75	9.9	12	769253	90	11.7	12	776417	92	11.8	12	790972	104	13.1	12	795259	91	11.4	12	795822	110	13.8	12	797350	123	15.4	12	806080	115	14.3	12	810064	99	12.2	12	823209	80	9.7	12	834429	71	8.5	12	840660	93	11.1	12	845745	93	11	12	856021	96	11.2	12	867258	97	11.1
"Honolulu PD, HI"	"21.3069, -157.8583"	12	817083	36	4.4	12	823306	46	5.6	12	832614	36	4.3	12	838656	28	3.3					12	836231	34	4.1	12	856432	29	3.4	12	875297	31	3.5	12	875455	31	3.5	12	880687	35	4	12	880266	38	4.3	12	878044	27	3.1	12	880272	34	3.9	12	874736	17	1.9	12	866566	37	4.3	12	876303	20	2.3	12	885605	20	2.3	12	900433	18	2	12	905301	15	1.7	12	906589	26	2.9	12	908521	15	1.7	12	912693	17	1.9	12	905903	19	2.1	12	906349	18	2	12	907124	14	1.5	12	953297	19	2	5	963465	7		3	975875	5		6	984683	10		4	994034	7		12	999307	15	1.5
"Indianapolis PD, IN"	"39.7684, -86.1581"	12	471656	59	12.5	12	470591	63	13.4	12	478693	57	11.9	12	483187	79	16.3	12	484056	41	8.5	12	483549	58	12	12	489392	95	19.4	12	493928	88	17.8	12	377723	68	18	12	380302	108	28.4	12	373973	82	21.9	12	376531	114	30.3	12	378014	118	31.2	12	759689	143	18.8	12	759066	113	14.9	12	793778	96	12.1	12	798251	112	14	12	804034	112	13.9	12	800167	105	13.1	12	800589	109	13.6	12	800304	108	13.5	12	800969	140	17.5	12	797268	114	14.3	12	808329	114	14.1	12	813471	99	12.2	12	831388	92	11.1	12	833024	96	11.5	12	838650	97	11.6	12	850220	129	15.2	12	858238	136	15.8	12	863675	148	17.1
